SEX_label,JWTR_label,SCHL_label,vehicle,PINCP,JWMNP,GRNTP,AGEP
Male,Subway or elevated,GED or alternative credential,1,9920,90,1450,31
Male,"Car, truck, or van",Master's degree,2,65000,10,0,34
Female,"Car, truck, or van","Some college, but less than 1 year",3,53200,30,0,67
Female,"Car, truck, or van",Bachelor's degree,2,24000,15,0,40
Male,"Car, truck, or van","1 or more years of college credit, no degree",2,52000,25,933,57
Male,"Car, truck, or van",Master's degree,2,13000,3,2808,29
Female,"Car, truck, or van",Bachelor's degree,2,48000,3,2808,30
Male,"Car, truck, or van",Regular high school diploma,3,5100,20,0,56
Male,"Car, truck, or van",Associate's degree,4,100000,16,0,36
Female,"Car, truck, or van",Associate's degree,4,32000,18,0,34
Male,"Car, truck, or van",Regular high school diploma,2,80000,3,0,65
Female,"Car, truck, or van",Bachelor's degree,1,40000,5,990,69
Male,"Car, truck, or van",Bachelor's degree,3,89000,60,0,55
Male,"Car, truck, or van",Regular high school diploma,1,95000,20,0,62
Female,"Car, truck, or van",Bachelor's degree,1,57000,5,0,61
Female,"Car, truck, or van",Bachelor's degree,6,54000,10,0,58
Male,"Car, truck, or van",Associate's degree,6,62000,15,0,60
Female,"Car, truck, or van","Some college, but less than 1 year",6,29000,10,0,29
Male,"Car, truck, or van","1 or more years of college credit, no degree",6,33000,5,0,26
Male,"Car, truck, or van","Some college, but less than 1 year",6,19000,36,0,34
Female,"Car, truck, or van",Associate's degree,6,10500,10,0,24
Male,Subway or elevated,Professional degree beyond a bachelor's degree,1,193000,40,0,58
Female,"Car, truck, or van",Master's degree,3,63000,10,0,41
Male,"Car, truck, or van","1 or more years of college credit, no degree",3,37000,10,0,43
Male,"Car, truck, or van",Bachelor's degree,2,89000,30,0,54
Male,"Car, truck, or van",Bachelor's degree,2,115500,30,0,58
Female,"Car, truck, or van","1 or more years of college credit, no degree",2,112500,20,0,64
Male,"Car, truck, or van",Grade 10,2,34000,20,1260,25
Female,"Car, truck, or van",GED or alternative credential,2,95500,30,1260,30
Male,"Car, truck, or van","1 or more years of college credit, no degree",3,202500,90,0,54
Female,"Car, truck, or van",Bachelor's degree,3,88000,20,0,56
Female,"Car, truck, or van","1 or more years of college credit, no degree",3,14000,90,0,19
Male,Bicycle,Regular high school diploma,4,90000,15,1805,62
Female,"Car, truck, or van",Master's degree,4,45000,40,1805,61
Male,"Car, truck, or van",Bachelor's degree,2,55000,4,0,32
Female,"Car, truck, or van",Regular high school diploma,2,37000,30,0,43
Male,"Car, truck, or van","Some college, but less than 1 year",2,60000,20,1200,41
Male,"Car, truck, or van","Some college, but less than 1 year",3,24000,45,0,29
Male,"Car, truck, or van",Associate's degree,2,60000,10,1440,30
Male,"Car, truck, or van",Bachelor's degree,2,42000,20,0,58
Female,"Car, truck, or van","Some college, but less than 1 year",2,45000,10,0,63
Female,"Car, truck, or van","1 or more years of college credit, no degree",2,283400,40,0,47
Male,"Car, truck, or van",Bachelor's degree,2,120000,60,0,50
Female,"Car, truck, or van",Grade 9,1,60700,10,0,63
Male,"Car, truck, or van",Professional degree beyond a bachelor's degree,3,498000,20,0,55
Female,"Car, truck, or van","1 or more years of college credit, no degree",3,70000,20,0,54
Male,"Car, truck, or van",Master's degree,5,60000,7,0,72
Female,"Car, truck, or van",Associate's degree,5,21600,10,0,22
Male,"Car, truck, or van","Some college, but less than 1 year",5,12000,15,0,22
Male,"Car, truck, or van",Master's degree,2,60000,5,0,39
Female,"Car, truck, or van","1 or more years of college credit, no degree",3,28800,45,0,69
Male,"Car, truck, or van",Bachelor's degree,2,87000,18,0,30
Male,"Car, truck, or van","Some college, but less than 1 year",3,47900,10,0,48
Male,"Car, truck, or van",Regular high school diploma,3,15000,30,0,18
Male,"Car, truck, or van",Bachelor's degree,3,54000,45,0,42
Female,"Car, truck, or van",Master's degree,2,100000,60,0,37
Male,"Car, truck, or van",Master's degree,2,115000,60,0,35
Male,"Car, truck, or van",Bachelor's degree,6,74000,30,0,48
Male,"Car, truck, or van",Regular high school diploma,2,2710,10,0,58
Female,"Car, truck, or van",Regular high school diploma,1,48500,45,1232,65
Female,"Car, truck, or van","1 or more years of college credit, no degree",2,37000,25,1400,24
Male,"Car, truck, or van",Associate's degree,2,43000,60,1400,32
Male,Walked,"1 or more years of college credit, no degree",4,30000,2,0,65
Male,"Car, truck, or van",Regular high school diploma,3,30000,12,0,70
Female,"Car, truck, or van","1 or more years of college credit, no degree",1,33000,10,1373,31
Female,"Car, truck, or van",Master's degree,4,49000,5,0,42
Male,"Car, truck, or van",Bachelor's degree,4,125000,3,0,47
Female,"Car, truck, or van",Associate's degree,2,22000,20,0,51
Male,"Car, truck, or van",Bachelor's degree,2,12000,75,1262,23
Female,"Car, truck, or van",Bachelor's degree,2,12000,45,1262,22
Female,"Car, truck, or van",Master's degree,2,49000,12,0,65
Female,"Car, truck, or van","1 or more years of college credit, no degree",1,30000,10,1360,47
Male,"Car, truck, or van",Regular high school diploma,1,498000,77,1670,57
Male,"Car, truck, or van",Regular high school diploma,1,35000,25,0,23
Female,"Car, truck, or van",Regular high school diploma,1,30000,35,0,22
Male,"Car, truck, or van",Master's degree,1,54000,30,0,67
Male,"Car, truck, or van",Bachelor's degree,1,57000,30,0,32
Female,"Car, truck, or van",Master's degree,4,74000,20,0,53
Male,"Car, truck, or van",Associate's degree,4,60000,40,0,54
Male,"Car, truck, or van",Regular high school diploma,4,10000,15,0,25
Female,"Car, truck, or van",Associate's degree,4,50000,12,0,48
Male,"Car, truck, or van",Associate's degree,4,12000,20,0,47
Female,"Car, truck, or van",Grade 11,4,12400,20,0,18
Female,"Car, truck, or van",Bachelor's degree,1,54030,55,0,52
Male,"Car, truck, or van",Master's degree,2,115000,20,0,62
Female,"Car, truck, or van",Bachelor's degree,1,30000,40,0,62
Female,"Car, truck, or van","Some college, but less than 1 year",1,44800,45,0,68
Female,"Car, truck, or van","1 or more years of college credit, no degree",3,50000,15,0,53
Female,Other method,"Some college, but less than 1 year",3,60000,60,0,52
Male,"Car, truck, or van",Bachelor's degree,2,43000,45,0,33
Female,"Car, truck, or van",Master's degree,3,37100,25,0,52
Male,"Car, truck, or van",Grade 11,3,1500,10,0,17
Female,Bus or trolley bus,Bachelor's degree,2,62000,45,0,33
Male,Bus or trolley bus,Bachelor's degree,2,55000,90,0,34
Female,Bus or trolley bus,"1 or more years of college credit, no degree",2,45000,30,0,36
Male,"Car, truck, or van","1 or more years of college credit, no degree",2,30000,20,0,35
Male,"Car, truck, or van",Bachelor's degree,3,209500,25,1764,39
Female,"Car, truck, or van","1 or more years of college credit, no degree",3,100000,45,1764,39
Male,"Car, truck, or van","Some college, but less than 1 year",2,79000,35,1880,28
Female,"Car, truck, or van",Master's degree,2,130000,15,0,38
Male,"Car, truck, or van",Regular high school diploma,4,40000,30,0,61
Female,"Car, truck, or van",Associate's degree,3,40000,30,0,66
Male,"Car, truck, or van",Master's degree,3,60000,40,0,55
Male,"Car, truck, or van",Bachelor's degree,2,69000,30,0,32
Female,"Car, truck, or van",Bachelor's degree,2,55000,45,0,33
Female,"Car, truck, or van",Master's degree,2,45000,10,0,60
Female,"Car, truck, or van",Bachelor's degree,2,225000,15,0,67
Male,"Car, truck, or van",GED or alternative credential,2,55000,30,0,53
Female,"Car, truck, or van","1 or more years of college credit, no degree",1,27000,10,940,34
Female,"Car, truck, or van",Doctorate degree,2,55000,30,0,27
Female,"Car, truck, or van",Bachelor's degree,2,90000,60,0,29
Female,"Car, truck, or van",Bachelor's degree,2,71500,30,0,32
Male,"Car, truck, or van","Some college, but less than 1 year",2,10000,30,0,29
Female,"Car, truck, or van",Master's degree,1,74500,5,0,48
Male,"Car, truck, or van",Bachelor's degree,1,120000,45,0,46
Male,"Car, truck, or van",Regular high school diploma,1,60000,30,0,54
Female,"Car, truck, or van",Bachelor's degree,1,64000,30,0,30
Female,"Car, truck, or van",Bachelor's degree,1,27900,50,0,36
